NAME                                    VERSION                                             TYPE                     
@isaacs/cliui                           8.0.2                                               npm                      
@isaacs/string-locale-compare           1.1.0                                               npm                      
@npmcli/agent                           2.2.2                                               npm                      
@npmcli/arborist                        7.5.4                                               npm                      
@npmcli/config                          8.3.4                                               npm                      
@npmcli/fs                              3.1.1                                               npm                      
@npmcli/git                             5.0.8                                               npm                      
@npmcli/installed-package-contents      2.1.0                                               npm                      
@npmcli/map-workspaces                  3.0.6                                               npm                      
@npmcli/metavuln-calculator             7.1.1                                               npm                      
@npmcli/name-from-folder                2.0.0                                               npm                      
@npmcli/node-gyp                        3.0.0                                               npm                      
@npmcli/package-json                    5.2.0                                               npm                      
@npmcli/promise-spawn                   7.0.2                                               npm                      
@npmcli/query                           3.1.0                                               npm                      
@npmcli/redact                          2.0.1                                               npm                      
@npmcli/run-script                      8.1.0                                               npm                      
@pkgjs/parseargs                        0.11.0                                              npm                      
@sigstore/bundle                        2.3.2                                               npm                      
@sigstore/core                          1.1.0                                               npm                      
@sigstore/protobuf-specs                0.3.2                                               npm                      
@sigstore/sign                          2.3.2                                               npm                      
@sigstore/tuf                           2.3.4                                               npm                      
@sigstore/verify                        1.2.1                                               npm                      
@tufjs/canonical-json                   2.0.0                                               npm                      
@tufjs/models                           2.0.1                                               npm                      
abbrev                                  2.0.0                                               npm                      
acl                                     2.3.1-4.el9                                         rpm                      
agent-base                              7.1.1                                               npm                      
aggregate-error                         3.1.0                                               npm                      
alternatives                            1.24-2.el9                                          rpm                      
annobin                                 12.92-1.el9                                         rpm                      
ansi-regex                              5.0.1                                               npm                      
ansi-regex                              6.0.1                                               npm     (+1 duplicate)   
ansi-styles                             4.3.0                                               npm                      
ansi-styles                             6.2.1                                               npm                      
apr                                     1.7.0-12.el9_3                                      rpm                      
apr-devel                               1.7.0-12.el9_3                                      rpm                      
apr-util                                1.6.1-23.el9                                        rpm                      
apr-util-bdb                            1.6.1-23.el9                                        rpm                      
apr-util-devel                          1.6.1-23.el9                                        rpm                      
apr-util-ldap                           1.6.1-23.el9                                        rpm                      
apr-util-openssl                        1.6.1-23.el9                                        rpm                      
aproba                                  2.0.0                                               npm                      
archy                                   1.0.0                                               npm                      
atlas                                   3.10.3-17.el9                                       rpm                      
atlas-devel                             3.10.3-17.el9                                       rpm                      
attr                                    2.5.1-3.el9                                         rpm                      
audit-libs                              3.1.5-4.el9                                         rpm                      
autoconf                                2.69-39.el9                                         rpm                      
automake                                1.16.2-8.el9                                        rpm                      
balanced-match                          1.0.2                                               npm                      
basesystem                              11-13.el9                                           rpm                      
bash                                    5.1.8-9.el9                                         rpm                      
bin-links                               4.0.4                                               npm                      
binary-extensions                       2.3.0                                               npm                      
binutils                                2.35.2-63.el9                                       rpm                      
binutils-gold                           2.35.2-63.el9                                       rpm                      
blinker                                 1.9.0                                               python                   
boost-regex                             1.75.0-10.el9                                       rpm                      
brace-expansion                         2.0.1                                               npm                      
brotli                                  1.0.9-7.el9_5                                       rpm                      
brotli-devel                            1.0.9-7.el9_5                                       rpm                      
bsdtar                                  3.5.3-6.el9_6                                       rpm                      
bzip2                                   1.0.8-10.el9_5                                      rpm                      
bzip2-devel                             1.0.8-10.el9_5                                      rpm                      
bzip2-libs                              1.0.8-10.el9_5                                      rpm                      
ca-certificates                         2024.2.69_v8.0.303-91.4.el9_4                       rpm                      
cacache                                 18.0.3                                              npm                      
cairo                                   1.17.4-7.el9                                        rpm                      
chalk                                   5.3.0                                               npm                      
chardet                                 4.0.0                                               python                   
chownr                                  2.0.0                                               npm                      
ci-info                                 4.0.0                                               npm                      
cidr-regex                              4.1.1                                               npm                      
clean-stack                             2.2.0                                               npm                      
cli-columns                             4.0.0                                               npm                      
click                                   8.1.8                                               python                   
cmake-filesystem                        3.26.5-2.el9                                        rpm                      
cmd-shim                                6.0.3                                               npm                      
color-convert                           2.0.1                                               npm                      
color-name                              1.1.4                                               npm                      
common-ancestor-path                    1.0.1                                               npm                      
coreutils-single                        8.32-39.el9                                         rpm                      
cpp                                     11.5.0-5.el9_5                                      rpm                      
cracklib                                2.9.6-27.el9                                        rpm                      
cracklib-dicts                          2.9.6-27.el9                                        rpm                      
cross-spawn                             7.0.3                                               npm                      
crypto-policies                         20250128-1.git5269e22.el9                           rpm                      
crypto-policies-scripts                 20250128-1.git5269e22.el9                           rpm                      
cssesc                                  3.0.0                                               npm                      
curl-minimal                            7.76.1-31.el9_6.1                                   rpm                      
cyrus-sasl                              2.1.27-21.el9                                       rpm                      
cyrus-sasl-devel                        2.1.27-21.el9                                       rpm                      
cyrus-sasl-lib                          2.1.27-21.el9                                       rpm                      
dbus                                    1:1.12.20-8.el9                                     rpm                      
dbus-broker                             28-7.el9                                            rpm                      
dbus-common                             1:1.12.20-8.el9                                     rpm                      
dbus-libs                               1:1.12.20-8.el9                                     rpm                      
dbus-python                             1.2.18                                              python                   
debug                                   4.3.5                                               npm                      
decorator                               4.4.2                                               python                   
dejavu-sans-fonts                       2.37-18.el9                                         rpm                      
diff                                    5.2.0                                               npm                      
dmidecode                               1:3.6-1.el9                                         rpm                      
dnf                                     4.14.0-25.el9                                       rpm                      
dnf-data                                4.14.0-25.el9                                       rpm                      
dwz                                     0.14-3.el9                                          rpm                      
eastasianwidth                          0.2.0                                               npm                      
ed                                      1.14.2-12.el9                                       rpm                      
efi-srpm-macros                         6-2.el9_0                                           rpm                      
elfutils-debuginfod-client              0.192-6.el9_6                                       rpm                      
elfutils-default-yama-scope             0.192-6.el9_6                                       rpm                      
elfutils-libelf                         0.192-6.el9_6                                       rpm                      
elfutils-libs                           0.192-6.el9_6                                       rpm                      
emacs-filesystem                        1:27.2-14.el9_6.2                                   rpm                      
emoji-regex                             8.0.0                                               npm                      
emoji-regex                             9.2.2                                               npm     (+1 duplicate)   
enchant                                 1:1.6.0-30.el9                                      rpm                      
encoding                                0.1.13                                              npm                      
env-paths                               2.2.1                                               npm                      
environment-modules                     5.3.0-1.el9                                         rpm                      
err-code                                2.0.3                                               npm                      
expat                                   2.5.0-5.el9_6                                       rpm                      
expat-devel                             2.5.0-5.el9_6                                       rpm                      
exponential-backoff                     3.1.1                                               npm                      
fastest-levenshtein                     1.0.16                                              npm                      
file                                    5.39-16.el9                                         rpm                      
file-libs                               5.39-16.el9                                         rpm                      
filesystem                              3.16-5.el9                                          rpm                      
findutils                               1:4.8.0-7.el9                                       rpm                      
